,Sitzungsnummer,Drucksache_Nummer,Titel,ThemenextraktL,ThemaVD,TitelVD,Occurrences,year,month,day,Occurrences_aktuell
101,229,16992,"Große Anfrage der Abgeordneten Sven Lehmann, Ulle Schauws, Dr. Kirsten Kappert-Gonther, Claudia Roth (Augsburg), Beate Walter-Rosenheimer, Kai Gehring, Maria Klein-Schmeink, Filiz Polat, Christian Kühn (Tübingen), Luise Amtsberg, Kordula Schulz-Asche, Canan Bayram, Renate Künast, Corinna Rüffer, Ekin Deligöz, Katja Dörner, Britta Haßelmann, Katja Keul, Sven-Christian Kindler, Monika Lazar, Dr. Irene Mihalic, Beate Müller-Gemmeke, Dr. Konstantin von Notz, Tabea Rößner, Dr. Manuela Rottmann, Stefan Schmidt, Charlotte Schneidewind-Hartnagel, Margit Stumpp und der Fraktion BÜNDNIS 90/DIE GRÜNEN Soziale und gesundheitliche Situation von Lesben, Schwulen, Bisexuellen, trans- und intergeschlechtlichen Menschen (LSBTI) in Deutschland Dank des vielfältigen Engagements zivilgesellschaftlicher Organisationen und dank jedes einzelnen Coming-Out steigt nach Ansicht der Fragesteller seit Jahren die Akzeptanz von Lesben, Schwulen, Bisexuellen, trans- und inter- geschlechtlichen Menschen (LSBTI) in Deutschland. In der vorliegenden Vor- lage werden die Begriffe „transgeschlechtlich“ und „intergeschlechtlich“ ver- wendet. Damit sind auch alle Menschen gemeint, die als Selbstbezeichnung an- dere Begriffe benutzen wie „transsexuell“, „transident“, „trans*“ bzw. „interse- xuell“, „inter*“ etc. Auch die rechtlichen Rahmenbedingungen in Bezug auf LSBTI in den letzten Jahren, wie die Öffnung der Ehe für Paare gleichen Geschlechts oder die „Dritte Option“ beim Geschlechtseintrag, haben zu einer größeren Sichtbar- werdung sexueller und geschlechtlicher Vielfalt geführt. Trotz alledem bleiben nach Ansicht der Fragesteller LSBTI eine vulnerable Gruppe in der Gesell- schaft, die weiterhin Diskriminierung, Ausgrenzung bis hin zu Gewalt ausge- setzt ist. Die staatliche Verfolgung und gesellschaftliche Ächtung hinterließ deutliche Spuren bei den betroffenen LSBTI. Für schwule Männer in der Bundesrepublik Deutschland brachte die Befreiung von der nationalsozialistischen Herrschaft 1945 nach Ansicht der Fragesteller keine wirkliche Freiheit. Sie konnten wei- terhin inhaftiert werden, nun in einem demokratisch legitimierten Gefängnis. Menschen wurden bespitzelt, verhaftet und als Verbrecher behandelt, nur weil sie anders liebten als die Mehrheit. Ein bloßer Verdacht auf „widernatürliche Unzucht“ konnte Existenzen vernichten (§ 175 StGB: „weggefallen“ nach 123 Jahren Geschichte eines Schandparagraphen: https://www.lsvd.de/de/ct/ 1022). Von der Strafverfolgung der Homosexuellen waren nicht nur die Männer be- troffen, die verurteilt worden sind, sondern ganze Generationen von Schwulen, Lesben, Bisexuellen sowie trans- und intergeschlechtlichen Menschen. Die",Deutscher Bundestag Drucksache 19/16992 19. Wahlperiode,Gesundheit,Große,1.0,2021,5,19,1
230,229,29772,"Antrag der Abgeordneten Ulrich Oehme, Detlev Spangenberg, Dr Robby Schlund, Jörg Schneider, Uwe Witt, Paul Viktor Podolay, Dr. Heiko Wildberg, Jürgen Braun, Peter Felser, Nicole Höchst, Jörn König, Tobias Matthias Peterka, Dr. Dirk Spaniel und der Fraktion der AfD",Arzneimittelsicherheit stärken  Risiko-Entlastung von Patienten und Ärzten bei Off-Label-Nutzung ,Gesundheit,Antrag,3.0,2021,5,19,3
220,229,29759,"Antrag der Abgeordneten Oliver Luksic, Frank Sitta, Bernd Reuther, Daniela Kluckert, Torsten Herbst, Dr. Christopher Gohl, Grigorios Aggelidis, Renata Alt, Nicole Bauer, Jens Beeck, Dr. Jens Brandenburg (Rhein-Neckar), Mario Brandenburg (Südpfalz), Dr. Marco Buschmann, Dr. Marcus Faber, Daniel Föst, Otto Fricke, Thomas Hacker, Reginald Hanke, Peter Heidt, Katrin Helling-Plahr, Markus Herbrand, Reinhard Houben, Ulla Ihnen, Pascal Kober, Konstantin Kuhle, Ulrich Lechte, Alexander Müller, Dr. Martin Neumann, Matthias Nölke, Matthias Seestern-Pauly, Dr. Hermann Otto Solms, Bettina Stark-Watzinger, Benjamin Strasser, Katja Suding, Stephan Thomae, Manfred Todtenhausen, Gerald Ullrich, Nicole Westig und der Fraktion der FDP","Wohnmobile ab 3,5 t im Straßenverkehr  Ungleichbehandlung beheben und deutschlandweit Campingurlaub ermöglichen ",Verkehr | Wirtschaft,Antwort,3.0,2021,5,19,2
185,229,28233,"Antwort der Bundesregierung auf die Große Anfrage der Abgeordneten Sven Lehmann, Ulle Schauws, Dr. Kirsten Kappert-Gonther, weiterer Abgeordneter und der Fraktion BÜNDNIS 90/DIE GRÜNEN Drucksache 19/16992","Soziale und gesundheitliche Situation von Lesben, Schwulen, Bisexuellen, trans- und intergeschlechtlichen Menschen (LSBTI) in Deutschland",Gesundheit,Antwort,1.0,2021,5,19,1
248,229,29783,"Antrag der Abgeordneten Joana Cotar, Uwe Schulz, Dr. Michael Espendiller, Peter Felser, Jörn König, Ulrich Oehme, Dr. Dirk Spaniel und der Fraktion der AfD",Anreizprogramme für IT-Sicherheit bei der Bundeswehr ausbauen ,Bundeswehr,Antrag,3.0,2021,5,19,3
199,229,29440,"Antrag der Abgeordneten Fabio De Masi, Stefan Liebich, Gökay Akbulut, Jörg Cezanne, Klaus Ernst, Dr. André Hahn, Ulla Jelpke, Jan Korte, Thomas Lutze, Pascal Meiser, Niema Movassat, Petra Pau, Martina Renner, Bernd Riexinger, Friedrich Straetmanns, Dr. Axel Troost, Alexander Ulrich, Dr. Sahra Wagenknecht und der Fraktion DIE LINKE",Interessenkonflikte in Bundesregierung und ihren Behörden bei Finanzgeschäften vermeiden ,Finanzmarkt,Antrag,2.0,2021,5,19,2
217,229,29758,"Antrag der Abgeordneten Karlheinz Busen, Frank Sitta, Dr. Gero Clemens Hocker, Carina Konrad, Nicole Bauer, Dr. Christoph Hoffmann, Grigorios Aggelidis, Renata Alt, Jens Beeck, Dr. Jens Brandenburg (Rhein-Neckar), Mario Brandenburg (Südpfalz), Dr. Marco Buschmann, Dr. Marcus Faber, Daniel Föst, Otto Fricke, Thomas Hacker, Reginald Hanke, Peter Heidt, Katrin Helling-Plahr, Markus Herbrand, Reinhard Houben, Ulla Ihnen, Gyde Jensen, Pascal Kober, Konstantin Kuhle, Ulrich Lechte, Alexander Müller, Dr. Martin Neumann, Matthias Nölke, Bernd Reuther, Dr. Wieland Schinnenburg, Matthias Seestern-Pauly, Dr. Hermann Otto Solms, Bettina Stark-Watzinger, Benjamin Strasser, Katja Suding, Stephan Thomae, Manfred Todtenhausen, Gerald Ullrich, Johannes Vogel (Olpe), Nicole Westig und der Fraktion der FDP",Holzverfügbarkeit sicherstellen  Marktbeschränkungen sofort aufheben ,Besteuerungsverfahren,Antwort,3.0,2021,5,19,3
234,229,29773,"Antrag der Abgeordneten Beatrix von Storch, Marc Bernhard, Siegbert Droese, Udo Theodor Hemmelgarn, Jörn König, Dietmar Friedhoff, Nicole Höchst und der Fraktion der AfD",Schutz von Kindern und Jugendlichen mit Geschlechtsdysphorie vor geschlechtsangleichenden medizinischen Eingriffen ,Inneres | Medien,Antwort,2.0,2021,5,19,2
204,229,29743,"Antrag der Abgeordneten Benjamin Strasser, Stephan Thomae, Frank Müller- Rosentritt, Renata Alt, Christine Aschenberg-Dugnus, Jens Beeck, Dr. Jens Brandenburg (Rhein-Neckar), Mario Brandenburg (Südpfalz), Sandra Bubendorfer-Licht, Dr. Marco Buschmann, Carl-Julius Cronenberg, Dr. Marcus Faber, Daniel Föst, Otto Fricke, Thomas Hacker, Reginald Hanke, Peter Heidt, Torsten Herbst, Dr. Gero Clemens Hocker, Reinhard Houben, Ulla Ihnen, Olaf in der Beek, Gyde Jensen, Daniela Kluckert, Pascal Kober, Konstantin Kuhle, Ulrich Lechte, Michael Georg Link, Matthias Nölke, Dr. h. c. Thomas Sattelberger, Dr. Wieland Schinnenburg, Matthias Seestern- Pauly, Frank Sitta, Dr. Hermann Otto Solms, Bettina Stark-Watzinger, Dr. Marie-Agnes Strack-Zimmermann, Katja Suding, Linda Teuteberg, Gerald Ullrich, Johannes Vogel (Olpe), Nicole Westig, Katharina Willkomm und der Fraktion der FDP",Jüdische Vielfalt in Deutschland  Bedürfnisse und Perspektiven von Jüdinnen und Juden respektieren und berücksichtigen ,Israel,Antrag,2.0,2021,5,19,1
225,229,29767,"Antrag der Abgeordneten Tabea Rößner, Luise Amtsberg, Canan Bayram, Katharina Dröge, Britta Haßelmann, Katja Keul, Sven-Christian Kindler, Renate Künast, Monika Lazar, Dr. Irene Mihalic, Claudia Müller, Dr. Konstantin von Notz, Filiz Polat, Dr. Manuela Rottmann, Corinna Rüffer, Stefan Schmidt, Wolfgang Wetzel und der Fraktion BÜNDNIS 90/DIE GRÜNEN",Umsetzung der europäischen Modernisierungsrichtlinie  Lücken im Verbraucherschutz schließen ,Recht und Verbraucherschutz,Antrag,4.0,2021,5,19,2
